멜론_동영상_랭킹,멜론_아티스트,멜론_제목,멜론_등급
1,헤이즈 (Heize),[Special Clip] 헤이즈 (Heize) - 내가 더 나빠,0
2,마마무,별이 빛나는 밤,15
3,모모랜드 (MOMOLAND),뿜뿜,12
4,Wanna One (워너원),약속해요 (I.P.U.),0
5,DPR LIVE,[썰렘코드] DPR LIVE - Action! (Feat. GRAY),0
6,헤이즈 (Heize),Jenga (Feat. Gaeko),15
7,GOT7 (갓세븐),Look,12
8,NCT 127,TOUCH,12
9,NCT U,BOSS,15
10,Red Velvet (레드벨벳),Bad Boy,12
11,Bruno Mars,Finesse (Remix) (Feat. Cardi B),15
12,핑크퐁,상어 가족,0
13,에이프릴 (APRIL),파랑새,12
14,TWICE (트와이스),Heart Shaker,12
15,헤이즈 (Heize),MIANHAE,15
16,iKON,사랑을 했다 (LOVE SCENARIO),12
17,마마무,[유희열의 스케치북] 별이 빛나는 밤,0
18,최예근,미안하다는 말 (Original Ver.),12
19,청하,Roller Coaster,12
20,HOYA (호야),Angel,15
21,TWICE (트와이스),LIKEY,12
22,마마무,별 바람 꽃 태양,12
23,Junoflo (주노플로),Grapevine (포도주) (Feat. 박재범),12
24,헤이즈 (Heize),내가 더 나빠,12
25,NCT DREAM,GO,12
26,MXM (BRANDNEWBOYS),식어버린 온도 (GONE COLD),12
27,해빈 (구구단),길에서,0
28,마마무,[유희열의 스케치북] 리듬 속의 그 춤을 + 흐린 기억속의 그대 + 황홀한 고백 + 깊은 밤을 날아서,0
29,NCT U,Baby Don`t Stop,12
30,포레스텔라,You are my star,0
31,방탄소년단,DNA,0
32,김영철,안되나용 (Feat. 휘성 (Realslow)),0
33,선미,주인공,12
34,핑크퐁,펭귄 댄스,0
35,Imagine Dragons,이제는 스마트폰 광고까지 접수한 상상용,0
36,MXM (BRANDNEWBOYS),MXM 식어버린 온도(GONE COLD)’ 어쿠스틱 라이브 클립 공개,0
37,핑크퐁,동물의 왕 사자,0
38,스컬,"오래된 엘피 (Feat. 매드클라운, 허각)",15
39,셀럽파이브,셀럽파이브 (셀럽이 되고 싶어),12
40,BLACKPINK,마지막처럼,12
41,Red Velvet (레드벨벳),피카부 (Peek-A-Boo),15
42,Wanna One (워너원),에너제틱 (Energetic),0
43,Wanna One (워너원),약속해요 (I.P.U.) (Teaser),0
44,로꼬,로꼬 '나타나줘 (Feat. 박재범)' 라이브 클립 메이킹 영상,0
45,핑크퐁,쾌지나 칭칭 나네,0
46,아이유,[스타DJ 라디오 스페셜] 연말특집 메들리 '별별쏭',0
47,로꼬,"로꼬, '나타나줘 (Feat. 박재범)' 오늘 오후 6시 공개",0
48,V,죽어도 너야,0
49,Wanna One (워너원),Beautiful (Performance Ver.),0
50,TWICE (트와이스),Candy Pop,12
51,오마이걸,비밀정원,12
52,Red Velvet (레드벨벳),빨간 맛 (Red Flavor),12
53,강호동,복을 발로 차버렸어 (I kicked my luck off),12
54,정일훈,She`s gone,15
55,로이킴,그때 헤어지면 돼,0
56,김재환,[불후의 명곡] 잊을게,0
57,모모랜드 (MOMOLAND),[쇼챔피언] 뿜뿜,0
58,CLC (씨엘씨),BLACK DRESS,15
59,Wanna One (워너원),Beautiful (Performance Ver.) (Teaser),0
60,여자친구 (GFRIEND),여자친구 GFRIEND - 시간을 달려서 (ROUGH) Dance Practice ver.,0
61,우주소녀,꿈꾸는 마음으로,12
62,TWICE (트와이스),TT,12
63,Wanna One (워너원),Beautiful (Movie Ver.),15
64,티디,봄나들이,0
65,소향,[복면가왕] 안아줘 (흥부자댁),0
66,테이,[불후의 명곡] 이별 이야기,0
67,허각,허각 '바보야' 뮤비 주인공 옹성우 인터뷰,0
68,방탄소년단,불타오르네 (FIRE),12
69,장재인,실례해도 될까요,0
70,소녀온탑,같은 곳에서,12
71,핑크퐁,바닷속에는,0
72,NCT U,[쇼챔피언] BOSS,0
73,정동하,[불후의 명곡] 난 아직 모르잖아요,0
74,선미,가시나,15
75,정승환,비가 온다,0
76,정승환,눈사람,0
77,헤이즈 (Heize),괜찮냐고 (Teaser),12
78,김민호,살아있는 공룡,0
79,Camila Cabello,Havana (Feat. Young Thug),15
80,조우찬,OGZ (PROD. GroovyRoom),12
81,NU`EST,NU'EST 4th Mini Album `Q is.` M/V 2nd Teaser,0
82,마마무,[유희열의 스케치북] 마마무 토크쇼,0
83,핑크퐁,아기 동물들,0
84,김성규,True Love,12
85,MXM (BRANDNEWBOYS),MXM 더블 싱글 'REMATCH' 미리듣기 공개,0
86,민경훈,후유증,15
87,수지 (SUZY),잘자 내 몫까지 (With 이루마),12
88,스컬,"이별을 했는데 (Feat. SUPERBEE, 조희철)",15
89,싸이 (PSY),New Face,15
90,헨리 (HENRY),사랑 좀 하고 싶어 (Real Love),12
91,BIGBANG,FANTASTIC BABY,0
92,TWICE (트와이스),KNOCK KNOCK,12
93,TWICE (트와이스),One More Time,12
94,TWICE (트와이스),SIGNAL,12
95,마마무,칠해줘,15
96,iKON,고무줄다리기 (Rubber Band) DANCE PRACTICE VIDEO (MOVING VER.),0
97,수지 (SUZY),SObeR,15
98,BLACKPINK,불장난,12
99,MXM (BRANDNEWBOYS),식어버린 온도 (GONE COLD) (LIMYOUNGMIN Ver.) (Teaser),0
100,TWICE (트와이스),CHEER UP,12
