mnet_순위,mnet_등락,mnet_곡,mnet_가수,mnet_앨범,mnet_발매일
1,0,꽃 길,BIGBANG,꽃 길,2018.03.13
2,1,별이 빛나는 밤,마마무(Mamamoo),Yellow Flower,2018.03.07
3,1,Look,GOT7 (갓세븐),Eyes On You,2018.03.12
4,0,Jenga (Feat. Gaeko),헤이즈(Heize),바람,2018.03.08
5,0,내가 더 나빠,헤이즈(Heize),바람,2018.03.08
6,0,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part 2,2018.01.22
7,14,My Blossom,소유(SOYOU),My Blossom,2018.03.12
8,4,약속해요 (I.P.U.),Wanna One(워너원),약속해요 (I.P.U.) - Special Theme Track,2018.03.05
9,0,나타나줘 (Feat. 박재범),로꼬,나타나줘,2018.03.14
10,3,괜찮냐고 ,헤이즈(Heize),바람,2018.03.08
11,3,뿜뿜,모모랜드(MOMOLAND),GREAT!,2018.01.03
12,2,사랑을 했다 (LOVE SCENARIO),iKON,Return,2018.01.25
13,4,너 하나만 (Feat. 효린),GOT7 (갓세븐),Eyes On You,2018.03.12
14,7,그때 헤어지면 돼,로이킴,그때 헤어지면 돼,2018.02.12
15,1,My Way,이수(엠씨더맥스) ,돈꽃 OST Part 1,2017.11.11
16,5,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe),2017.07.28
17,20,애쓰지 마요,박보람,애쓰지 마요,2018.02.13
18,2,잘 살길 바래 (With DAVII),헤이즈(Heize),바람,2018.03.08
19,6,True Love,김성규,1st Album `10 Stories`,2018.02.26
20,6,Roller Coaster,청하,Offset,2018.01.17
21,3,그날처럼,장덕철,그날처럼,2017.11.28
22,4,Havana (Feat. Young Thug),Camila Cabello,Camila,2018.01.12
23,8,Bad Boy,Red Velvet (레드벨벳),The Perfect Red Velvet - The 2nd Album Repackage,2018.01.29
24,7,눈사람,정승환,그리고 봄,2018.02.19
25,2,네가 없는 곳,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
26,10,오늘밤도,펀치(Punch),오늘밤도,2018.02.06
27,12,후유증,민경훈,후유증,2018.02.17
28,3,MIANHAE,헤이즈(Heize),바람,2018.03.08
29,5,망설이다,GOT7 (갓세븐),Eyes On You,2018.03.12
30,21,별 바람 꽃 태양,마마무(Mamamoo),Yellow Flower,2018.03.07
31,21,"All Falls Down (Feat. Noah Cyrus, Digit ..",Alan Walker,All Falls Down,2017.10.27
32,13,이 별,길구봉구,Star,2017.09.18
33,15,Action! (Feat. GRAY),DPR LIVE,Action!,2018.03.13
34,6,선물,멜로망스(Melomance),Moonlight,2017.07.10
35,8,There`s Nothing Holdin` Me Back,Shawn Mendes,Illuminate (New Deluxe Ver.),2017.04.21
36,14,너 없는 시간들,다비치,&10    ,2018.01.25
37,10,The Reason,GOT7 (갓세븐),Eyes On You,2018.03.12
38,21,Thunder,Imagine Dragons,Evolve,2018.02.22
39,9,우리,GOT7 (갓세븐),Eyes On You,2018.03.12
40,5,비행운,문문(MoonMoon),LIFE IS BEAUTY FULL,2016.11.10
41,5,Grapevine (포도주) (Feat. 박재범),Junoflo(주노플로),Only Human,2018.03.13
42,0,BOSS,NCT U,NCT 2018 EMPATHY,2018.03.14
43,10,주인공,선미,주인공,2018.01.18
44,2,바람,헤이즈(Heize),바람,2018.03.08
45,7,눈 떠보니 이별이더라,포맨,REMEMBER ME,2017.10.24
46,11,밤이 되니까,펀치(Punch),밤이 되니까,2017.09.29
47,13,Heart Shaker,TWICE(트와이스),Merry & Happy,2017.12.11
48,1,Love Letter (언약),2Shai,Love Letter,2003.09.08
49,21,잘가라,홍진영,잘가라,2018.02.07
50,32,사랑은 아프다,이승철,미스티 (JTBC 금토드라마) OST - Part 1,2018.02.17
51,40,Rude Boy,마마무(Mamamoo),Yellow Flower,2018.03.07
52,42,봉제선 (Feat. 수란),다이나믹 듀오(Dynamic Duo),봉제선,2018.02.07
53,21,고마워,GOT7 (갓세븐),Eyes On You,2018.03.12
54,23,추억 한 잔 (Feat. 하림),먼데이 키즈,추억 한 잔,2018.03.09
55,11,첫눈처럼 너에게 가겠다,에일리,도깨비 OST Part 9,2017.01.07
56,16,벚꽃 엔딩,버스커 버스커,버스커 버스커,2012.03.29
57,5,Faded,Alan Walker,Faded,2016.01.15
58,37,봄타,마마무(Mamamoo),Yellow Flower,2018.03.07
59,1,Love Yourself,Justin Bieber,Purpose,2015.11.14
60,13,Shape of You,Ed Sheeran,÷ (Deluxe),2017.03.03
61,32,instagram,DEAN,instagram,2017.12.26
62,6,봄날,방탄소년단,YOU NEVER WALK ALONE,2017.02.13
63,8,Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017.04.07
64,24,비가 온다,정승환,그리고 봄,2018.02.19
65,179,비밀정원,오마이걸(OH MY GIRL),비밀정원,2018.01.09
66,10,고맙다,세븐틴,SEVENTEEN SPECIAL ALBUM `DIRECTOR`S CUT`,2018.02.05
67,32,파랑새,에이프릴(APRIL),에이프릴(APRIL) 5th Mini Album `The Blue`,2018.03.12
68,27,Beautiful,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU),2017.11.13
69,92,꽃이야,JBJ,True Colors,2018.01.17
70,14,#첫사랑,볼빨간사춘기,#첫사랑,2018.01.10
71,22,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),The Red Summer - Summer Mini Album,2017.07.09
72,12,Undercover (Feat. 윤미래),Junoflo(주노플로),Only Human,2018.03.13
73,0,TOUCH,NCT 127,NCT 2018 EMPATHY,2018.03.14
74,7,Closer (Feat. Halsey),The Chainsmokers,Collage EP,2016.11.05
75,35,가을 안부,먼데이키즈(Monday Kiz),가을 안부,2017.10.14
76,29,안되나용  (Feat. 휘성(Realslow)),김영철,안되나용...(부재: 화양사거리),2018.02.17
77,0,Baby Don’t Stop,NCT U,NCT 2018 EMPATHY,2018.03.14
78,28,Thinking Out Loud,Ed Sheeran,X (Deluxe Edition),2014.06.24
79,28,Stay,Zedd,The Middle,2018.01.24
80,26,기억의 빈자리,나얼,기억의 빈자리,2017.11.29
81,28,불장난,BLACKPINK,SQUARE TWO,2016.11.01
82,0,GO,NCT DREAM,NCT 2018 EMPATHY,2018.03.14
83,17,그 사람을 아나요,임창정,그 사람을 아나요,2017.10.23
84,34,All The Stars,Kendrick Lamar,블랙팬서 더 앨범 (Black Panther The Album Music From And Inspired By),2018.02.09
85,24,all of my life,박원,0M,2017.07.27
86,26,다른사람을 사랑하고 있어,수지(SUZY),Faces of Love,2018.01.29
87,30,DNA,방탄소년단,LOVE YOURSELF 承 `Her`,2017.09.18
88,15,밤편지,아이유(IU),밤편지,2017.03.24
89,8,덜덜덜,EXID,Full Moon,2017.11.07
90,9,가시나,선미,SUNMI SPECIAL EDITION `가시나`,2017.08.22
91,6,결혼,문문(MoonMoon),이번 생은 처음이라 OST Part 4,2017.10.24
92,42,바보야,허각,바보야,2017.11.27
93,20,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비),2017.06.26
94,31,바람이 불었으면 좋겠어,길구봉구,바람이 불었으면 좋겠어,2014.01.03
95,28,Attention,Charlie Puth,If You Leave Me Now,2018.01.05
96,50,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1,2017.09.28
97,97,Blue,볼빨간사춘기,Red Diary Page.1,2017.09.28
98,3,덤덤해지네 (Solo 화사),마마무(Mamamoo),Yellow Flower,2018.03.07
99,22,짙어져,멜로망스(Melomance),Yellow OST Part 2,2017.10.15
100,14,머물러줘,김성규,1st Album `10 Stories`,2018.02.26
